"systems","nAtoms","compos","Eref","B3LYP","B97-1","BH&HLYP","BLYP","CAM-B3LYP","LC-ωPBE","PBE","PBE0","PW86PBE"
"benzoquinone",12,"2 O + 4 H + 6 C ","-1424.22"," 14.86"," -1.16"," 76.03","  5.73","  6.22"," -1.00","-57.86","-12.31","-25.25"
"pyrimidine",10,"2 N + 4 H + 4 C ","-1108.79"," -1.10"," -8.95"," 46.00"," -7.27"," -6.22"," -6.58","-52.34","-18.08","-30.61"
"dimethyl-sulfone",11,"2 O + 6 H + 1 S + 2 C "," -971.06"," 29.96"," 24.55"," 66.63"," 29.62"," 21.69"," 20.84"," -7.11"," 18.40"," 19.15"
"chlorobenzene",12,"5 H + 6 C + 1 Cl ","-1348.17"," 13.58","  0.71"," 54.12"," 16.66","  6.03"," -0.09","-44.35","-17.34","-14.06"
"butanedinitrile",10,"2 N + 4 H + 4 C ","-1104.52","  5.60","  0.49"," 53.63"," -3.17","  1.04","  0.28","-40.32"," -4.77","-24.04"
"pyrazine",10,"2 N + 4 H + 4 C ","-1108.54","  2.76"," -5.00"," 50.73"," -3.95"," -1.94"," -1.79","-48.83","-13.91","-27.19"
"butyn-3-one",9,"1 O + 4 H + 4 C "," -968.85","  9.70","  5.24"," 48.53","  4.71","  5.22","  4.88","-29.23"," -1.23","-10.84"
"crotonaldehyde",11,"1 O + 6 H + 4 C ","-1124.74","  4.78","  2.65"," 41.33","  4.54"," -0.87","  1.21","-30.74"," -5.83"," -9.31"
"acetic-anhydride",13,"3 O + 6 H + 4 C ","-1360.76"," 11.07","  2.50"," 67.33","  4.48"," -0.77"," -3.19","-44.90"," -4.03","-13.33"
"2-5-dihydrothiophene",11,"6 H + 1 S + 4 C ","-1086.29"," 12.73","  5.55"," 40.44"," 18.99","  5.76","  1.91","-24.15"," -7.31","  0.97"
"methylpropanenitrile",12,"1 N + 7 H + 4 C ","-1207.15","  8.50","  8.79"," 43.00"," 10.97","  1.74","  3.63","-23.42"," -0.98"," -3.98"
"methyl-ethyl-ketone",13,"1 O + 8 H + 4 C ","-1273.57","  8.53","  8.55"," 42.08"," 13.85"," -0.50","  0.96","-23.30"," -2.38","  1.13"
"methylpropanal",13,"1 O + 8 H + 4 C ","-1268.12"," 10.54"," 10.36"," 44.21"," 15.66","  1.69","  3.24","-21.32"," -0.26","  3.05"
"1-4-dioxane",14,"2 O + 8 H + 4 C ","-1355.41"," 13.24","  9.18"," 54.08"," 17.89"," -1.01"," -2.04","-29.46"," -2.86","  2.96"
